,Displacement,Horsepower,Weight,MPG
1,307,130,3504,18
2,350,165,3693,15
3,318,150,3436,18
4,304,150,3433,16
5,302,140,3449,17
6,429,198,4341,15
7,454,220,4354,14
8,440,215,4312,14
9,455,225,4425,14
10,390,190,3850,15
11,133,115,3090,14
12,350,165,4142,16
13,351,153,4034,17
14,383,175,4166,19
15,360,175,3850,20
16,383,170,3563,15
17,340,160,3609,14
18,302,140,3353,16
19,400,150,3761,15
20,455,225,3086,14
21,113,95,2372,24
22,198,95,2833,22
23,199,97,2774,18
24,200,85,2587,21
25,97,88,2130,27
26,97,46,1835,26
27,110,87,2672,25
28,107,90,2430,24
29,104,95,2375,25
30,121,113,2234,26
31,199,90,2648,21
32,360,215,4615,10
33,307,200,4376,10
34,318,210,4382,11
35,304,193,4732,9
36,107,86,2464,28
37,116,81,2220,25
38,140,92,2572,25
39,98,79,2255,26
40,101,83,2202,27
41,305,140,4215,17.5
42,318,150,4190,16
43,304,120,3962,15.5
44,351,152,4215,14.5
45,225,100,3233,22
46,250,105,3353,22
47,200,81,3012,24
48,232,90,3085,22.5
49,85,52,2035,29
50,98,60,2164,24.5
51,90,70,1937,29
52,91,53,1795,33
53,225,100,3651,20
54,250,78,3574,18
55,250,110,3645,18.5
56,258,95,3193,17.5
57,97,71,1825,29.5
58,85,70,1990,32
59,97,75,2155,28
60,140,72,2565,26.5
61,130,102,3150,20
62,318,150,3940,13
63,120,88,3270,19
64,156,108,2930,19
65,168,120,3820,16.5
66,350,180,4380,16.5
67,350,145,4055,13
68,302,130,3870,13
69,318,150,3755,13
70,112,88,2605,28
71,112,88,2640,27
72,112,88,2395,34
73,112,85,2575,31
74,135,84,2525,29
75,151,90,2735,27
76,140,92,2865,24
77,151,91,3035,23
78,105,74,1980,36
79,91,68,2025,37
80,91,68,1970,31
81,105,63,2125,38
82,98,70,2125,36
83,120,88,2160,36
84,107,75,2205,36
85,108,70,2245,34
86,91,67,1965,38
87,91,67,1965,32
88,91,67,1995,38
89,181,110,2945,25
90,262,85,3015,38
91,156,92,2585,26
92,232,112,2835,22
93,144,96,2665,32
94,135,84,2370,36
95,151,90,2950,27
96,140,86,2790,27
97,97,52,2130,44
98,135,84,2295,32
99,120,79,2625,28
100,119,82,2720,31
